name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"Rasabali is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Chenna, sweetened milk."
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Ras malai is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 180 minutes and cooking time is 60 minutes. Main ingredients include Chhena, reduced milk, pistachio."
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Rasgulla is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 90 minutes. Main ingredients include Chhena, sugar, cardamom."
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Sandesh is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 30 minutes and cooking time is 20 minutes. Main ingredients include Milk, sugar, saffron, cardamom."
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"Adhirasam is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Rice flour, jaggery, ghee, vegetable oil, elachi."
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Ariselu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 75 minutes. Main ingredients include Rice flour, jaggery, ghee."
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Bandar laddu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 35 minutes. Main ingredients include Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar."
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Chikki is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Peanuts, jaggery."
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Dharwad pedha is a vegetarian dessert from Karnataka in the South region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 60 minutes. Main ingredients include Milk, Sugar, Dharwadi buffalo milk."
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Double ka meetha is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Loaf bread, milk."
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Gavvalu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Rice flour, sugar, salt, ghee, semolina."
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Kakinada khaja is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Wheat flour, sugar."
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Kuzhi paniyaram is a vegetarian dessert from Kerala in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Black lentils, rice."
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Mysore pak is a vegetarian dessert from Karnataka in the South region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee."
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"Obbattu holige is a vegetarian main course from Karnataka in the South region of India. It has a sweet flavor. Preparation time is 180 minutes and cooking time is 60 minutes. Main ingredients include Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom."
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"Palathalikalu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Rice flour, milk."
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"Poornalu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 240 minutes and cooking time is 60 minutes. Main ingredients include Chana dal, jaggery."
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,"Pongal is a vegetarian dessert from Tamil Nadu in the South region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Rice, jaggery, cashews, ghee."
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,"Pootharekulu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Rice flour, powdered sugar, ghee."
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,"Qubani ka meetha is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Apricots, sugar syrup."
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,"Sheer korma is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Vermicelli pudding, milk."
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,"Unni Appam is a vegetarian dessert from Tamil Nadu in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Rice flour, banana, jaggery, coconut."
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,"Kajjikaya is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 40 minutes and cooking time is 15 minutes. Main ingredients include Rice flour, jaggery, coconut."
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Anarsa is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Rice flour, jaggery, khus-khus seeds."
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,"Basundi is a vegetarian dessert from Gujarat in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Sugar, milk, nuts."
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Dhondas is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Cucumber, rava."
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,"Doodhpak is a vegetarian dessert from Gujarat in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Milk, rice, sugar, dry fruits."
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Mahim halwa is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Semolina, sugar."
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,"Modak is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 15 minutes. Main ingredients include Rice flour, coconut, jaggery ."
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,"Shankarpali is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Sugar, ghee, maida flour, semolina."
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,"Shrikhand is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 720 minutes. Main ingredients include Curd, sugar, saffron, cardamom."
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,"Sutar feni is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 55 minutes. Main ingredients include Maida, sugar, ghee."
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,"Maach Jhol is a non vegetarian main course from Assam in the North East region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Fish, potol, tomato, chillies, ginger, garlic."
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,-1,-1,spicy,main course,Tripura,North East,"Pork Bharta is a non vegetarian main course from Tripura in the North East region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Boiled pork, onions, chillies, ginger and garlic."
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,"Chak Hao Kheer is a vegetarian dessert from Manipur in the North East region of India. It has a sweet flavor. Preparation time is 240 minutes and cooking time is 45 minutes. Main ingredients include Rice, milk, sugar, cardamom."
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,"Galho is a non vegetarian main course from Nagaland in the North East region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 15 minutes. Main ingredients include Rice, axone, salt, water, chillies, pork."
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,"Aloo gobi is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Cauliflower, potato, garam masala, turmeric, curry leaves."
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,"Aloo tikki is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Rice flour, potato, bread crumbs, garam masala, salt."
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,"Aloo matar is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 40 minutes. Main ingredients include Potato, peas, chillies, ginger, garam masala, garlic."
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,"Aloo methi is a vegetarian main course from Punjab in the North region of India. It has a bitter flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Potato, fenugreek leaves, chillies, salt, oil."
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,"Aloo shimla mirch is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Potato, shimla mirch, garam masala, amchur powder, salt."
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,"Bhatura is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 20 minutes. Main ingredients include Chole, rava, yogurt, plain flour, baking soda."
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,"Bhindi masala is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Ladies finger, garam masala, kasuri methi, tomatoes, chili powder."
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,"Biryani is a non vegetarian main course from Telangana in the South region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 120 minutes. Main ingredients include Chicken thighs, basmati rice, star anise, sweet, green chillies."
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,"Butter chicken is a non vegetarian main course from NCT of Delhi in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter."
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,"Chana masala is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil."
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West,"Chapati is a vegetarian main course from Maharashtra in the West region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 10 minutes. Main ingredients include Whole wheat flour, olive oil, hot water, all purpose flour."
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,"Chicken razala is a non vegetarian main course from West Bengal in the East region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron."
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,"Chicken Tikka masala is a non vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala."
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,"Chicken Tikka is a non vegetarian starter from Punjab in the North region of India. It has a spicy flavor. Preparation time is 120 minutes and cooking time is 45 minutes. Main ingredients include Chicken, whole wheat bread, rice flour, garam masala powder, whole egg."
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,"Chole bhature is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Chole, bhatura, garam masala, bay leaf, cinnamon stick."
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,"Daal baati churma is a vegetarian main course from Rajasthan in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 90 minutes. Main ingredients include Moong dal, masoor dal, chana dal, wheat flour, almond."
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,"Daal puri is a vegetarian main course from West Bengal in the East region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 30 minutes. Main ingredients include Moong dal, garam masala powder, garlic, green chilli, all purpose flour."
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,"Dal makhani  is a vegetarian main course from Punjab in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Red kidney beans, urad dal, cream, garam masala, chili powder."
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,"Dal tadka is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Pigeon peas, garam masala, ginger, red onion, kasuri methi."
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,"Dum aloo is a vegetarian main course from Jammu & Kashmir in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 50 minutes. Main ingredients include Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes."
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,"Poha is a vegetarian snack from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Beaten rice flakes, potato, curry leaves, green chilies, lemon juice."
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,"Fara is a vegetarian snack from Chhattisgarh in the Central region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder."
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,"Kachori is a vegetarian snack from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 60 minutes. Main ingredients include Moong dal, rava, garam masala, dough, fennel seeds."
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,"Kadai paneer is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Cottage cheese, bell peppers, gravy, garam masala, cashew nuts."
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,"Kadhi pakoda is a vegetarian main course from Haryana in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Besan, garam masala powder, gram flour, ginger, curry leaves."
