name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description,recipe_dict
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Sheera is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Semolina, ghee, nuts, milk.","{'name': 'Sheera', 'ingredients': 'Semolina, ghee, nuts, milk', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 25, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,"Singori is a vegetarian dessert from Uttarakhand in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Khoa, coconut, molu leaf.","{'name': 'Singori', 'ingredients': 'Khoa, coconut, molu leaf', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Uttarakhand', 'region': 'North'}"
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Sohan halwa is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Corn flour, ghee, dry fruits.","{'name': 'Sohan Halwa', 'ingredients': 'Corn flour, ghee, dry fruits', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Uttar Pradesh', 'region': 'North'}"
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,"Sohan papdi is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is -1 minutes and cooking time is 60 minutes. Main ingredients include Gram flour, ghee, sugar, milk, cardamom.","{'name': 'Sohan Papdi', 'ingredients': 'Gram flour, ghee, sugar, milk, cardamom', 'diet': 'vegetarian', 'prep_time': -1, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,"Chhena jalebi is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Chhena, sugar, ghee.","{'name': 'Chhena Jalebi', 'ingredients': 'Chhena, sugar, ghee', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Odisha', 'region': 'East'}"
Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,"Chhena kheeri is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is -1 minutes and cooking time is 60 minutes. Main ingredients include Chhena, sugar, milk.","{'name': 'Chhena kheeri', 'ingredients': 'Chhena, sugar, milk', 'diet': 'vegetarian', 'prep_time': -1, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Odisha', 'region': 'East'}"
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,"Chhena poda is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 45 minutes. Main ingredients include Sugar, chenna cheese.","{'name': 'Chhena Poda', 'ingredients': 'Sugar, chenna cheese', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 45, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Odisha', 'region': 'East'}"
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Cham cham is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 40 minutes and cooking time is 60 minutes. Main ingredients include Flour, cream, sugar, saffron, lemon juice, coconut flakes.","{'name': 'Cham cham', 'ingredients': 'Flour, cream, sugar, saffron, lemon juice, coconut flakes', 'diet': 'vegetarian', 'prep_time': 40, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,"Kheer sagar is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 25 minutes and cooking time is 60 minutes. Main ingredients include Chenna, condensed milk, sugar, saffron, cardamom.","{'name': 'Kheer Sagar', 'ingredients': 'Chenna, condensed milk, sugar, saffron, cardamom', 'diet': 'vegetarian', 'prep_time': 25, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Odisha', 'region': 'East'}"
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"Ledikeni is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 45 minutes. Main ingredients include Chhena, sugar, ghee.","{'name': 'Ledikeni', 'ingredients': 'Chhena, sugar, ghee', 'diet': 'vegetarian', 'prep_time': 45, 'cook_time': 45, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Lyangcha is a vegetarian dessert from Assam in the North East region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Flour, fried milk power, sugar syrup.","{'name': 'Lyangcha', 'ingredients': 'Flour, fried milk power, sugar syrup', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Assam', 'region': 'North East'}"
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Malapua is a vegetarian dessert from Bihar in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 120 minutes. Main ingredients include Yoghurt, refined flour, ghee, fennel seeds.","{'name': 'Malapua', 'ingredients': 'Yoghurt, refined flour, ghee, fennel seeds', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 120, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Bihar', 'region': 'North'}"
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"Mihidana is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Besan flour, sugar, ghee.","{'name': 'Mihidana', 'ingredients': 'Besan flour, sugar, ghee', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Misti doi is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 480 minutes and cooking time is 30 minutes. Main ingredients include Milk, jaggery.","{'name': 'Misti Doi', 'ingredients': 'Milk, jaggery', 'diet': 'vegetarian', 'prep_time': 480, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"Pantua is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 45 minutes. Main ingredients include Chhena, sugar, ghee, flour.","{'name': 'Pantua', 'ingredients': 'Chhena, sugar, ghee, flour', 'diet': 'vegetarian', 'prep_time': 45, 'cook_time': 45, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Pithe is a vegetarian dessert from Assam in the North East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 35 minutes. Main ingredients include Rice flour, wheat flour.","{'name': 'Pithe', 'ingredients': 'Rice flour, wheat flour', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 35, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Assam', 'region': 'North East'}"
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"Rasabali is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Chenna, sweetened milk.","{'name': 'Rasabali', 'ingredients': 'Chenna, sweetened milk', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Odisha', 'region': 'East'}"
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Ras malai is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 180 minutes and cooking time is 60 minutes. Main ingredients include Chhena, reduced milk, pistachio.","{'name': 'Ras Malai', 'ingredients': 'Chhena, reduced milk, pistachio', 'diet': 'vegetarian', 'prep_time': 180, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Rasgulla is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 90 minutes. Main ingredients include Chhena, sugar, cardamom.","{'name': 'Rasgulla', 'ingredients': 'Chhena, sugar, cardamom', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 90, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Sandesh is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 30 minutes and cooking time is 20 minutes. Main ingredients include Milk, sugar, saffron, cardamom.","{'name': 'Sandesh', 'ingredients': 'Milk, sugar, saffron, cardamom', 'diet': 'vegetarian', 'prep_time': 30, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"Adhirasam is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Rice flour, jaggery, ghee, vegetable oil, elachi.","{'name': 'Adhirasam', 'ingredients': 'Rice flour, jaggery, ghee, vegetable oil, elachi', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Ariselu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 75 minutes. Main ingredients include Rice flour, jaggery, ghee.","{'name': 'Ariselu', 'ingredients': 'Rice flour, jaggery, ghee', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 75, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Bandar laddu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 35 minutes. Main ingredients include Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar.","{'name': 'Bandar Laddu', 'ingredients': 'Besan, jaggery, cardamom powder, ghee, cashews, raisins, jaggery syrup, sugar', 'diet': 'vegetarian', 'prep_time': 5, 'cook_time': 35, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Chikki is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Peanuts, jaggery.","{'name': 'Chikki', 'ingredients': 'Peanuts, jaggery', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Dharwad pedha is a vegetarian dessert from Karnataka in the South region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 60 minutes. Main ingredients include Milk, Sugar, Dharwadi buffalo milk.","{'name': 'Dharwad Pedha', 'ingredients': 'Milk, Sugar, Dharwadi buffalo milk', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Karnataka', 'region': 'South'}"
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Double ka meetha is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Loaf bread, milk.","{'name': 'Double ka meetha', 'ingredients': 'Loaf bread, milk', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Telangana', 'region': 'South'}"
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Gavvalu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Rice flour, sugar, salt, ghee, semolina.","{'name': 'Gavvalu', 'ingredients': 'Rice flour, sugar, salt, ghee, semolina', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Kakinada khaja is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Wheat flour, sugar.","{'name': 'Kakinada Khaja', 'ingredients': 'Wheat flour, sugar', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Kuzhi paniyaram is a vegetarian dessert from Kerala in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Black lentils, rice.","{'name': 'Kuzhi Paniyaram', 'ingredients': 'Black lentils, rice', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Kerala', 'region': 'South'}"
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Mysore pak is a vegetarian dessert from Karnataka in the South region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee.","{'name': 'Mysore Pak', 'ingredients': 'Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee', 'diet': 'vegetarian', 'prep_time': 5, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Karnataka', 'region': 'South'}"
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"Obbattu holige is a vegetarian main course from Karnataka in the South region of India. It has a sweet flavor. Preparation time is 180 minutes and cooking time is 60 minutes. Main ingredients include Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom.","{'name': 'Obbattu Holige', 'ingredients': 'Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom', 'diet': 'vegetarian', 'prep_time': 180, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'main course', 'state': 'Karnataka', 'region': 'South'}"
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"Palathalikalu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Rice flour, milk.","{'name': 'Palathalikalu', 'ingredients': 'Rice flour, milk', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 25, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"Poornalu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 240 minutes and cooking time is 60 minutes. Main ingredients include Chana dal, jaggery.","{'name': 'Poornalu', 'ingredients': 'Chana dal, jaggery', 'diet': 'vegetarian', 'prep_time': 240, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,"Pongal is a vegetarian dessert from Tamil Nadu in the South region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Rice, jaggery, cashews, ghee.","{'name': 'Pongal', 'ingredients': 'Rice, jaggery, cashews, ghee', 'diet': 'vegetarian', 'prep_time': 5, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Tamil Nadu', 'region': 'South'}"
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,"Pootharekulu is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Rice flour, powdered sugar, ghee.","{'name': 'Pootharekulu', 'ingredients': 'Rice flour, powdered sugar, ghee', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
